Definition,NumberScale,IndicatorType,MeasurementType,IsQuickStat,ShortName,IndicatorId,Level1,IndicatorTotalId,Level2,Level3,SDRID,IndicatorOldId,TagIds,DenominatorWeightedId,Label,IndicatorOrder,Denominator,QuickStatOrder,IndicatorSpecial1Id,DenominatorUnweightedId,IndicatorSpecial2Id
Percentage of men who are moderately thin according to BMI (<17.0),1,I,Percent,0,BMI: Thin: <17 (moderately and severely thin),AN_NUTS_M_TH2,Adult Nutrition,,Nutritional status,Men,ANNUTSMTH2,,14,AN_NUTS_M_NUM,Men who are moderately thin according to BMI (<17.0),114564210,Men interviewed,,,AN_NUTS_M_UNW,
Percentage of men who are overweight or obese according to BMI (>=25.0),1,I,Percent,0,BMI: Overwieght: >= 25.0 (total overweight or obese),AN_NUTS_M_OWT,Adult Nutrition,,Nutritional status,Men,ANNUTSMOWT,,"14, 85",AN_NUTS_M_NUM,Men who are overweight or obese according to BMI (>=25.0),114564220,Men interviewed,,,AN_NUTS_M_UNW,
Percentage of men who are overweight according to BMI (25.0-29.9),1,I,Percent,0,BMI: Overwieght: 25.0-29.9 (overweight),AN_NUTS_M_OVW,Adult Nutrition,,Nutritional status,Men,ANNUTSMOVW,,14,AN_NUTS_M_NUM,Men who are overweight according to BMI (25.0-29.9),114564230,Men interviewed,,,AN_NUTS_M_UNW,
Percentage of men who are obese according to BMI (>=30.0),1,I,Percent,0,BMI: Overwieght: >=30.0 (obese),AN_NUTS_M_OBS,Adult Nutrition,,Nutritional status,Men,ANNUTSMOBS,,"14, 89",AN_NUTS_M_NUM,Men who are obese according to BMI (>=30.0),114564240,Men interviewed,,,AN_NUTS_M_UNW,
Number of men,0,D,Number,0,Number of men,AN_NUTS_M_NUM,Adult Nutrition,,Nutritional status,Men,ANNUTSMNUM,,14,,Number of men,114564250,Men interviewed,,,AN_NUTS_M_UNW,
Number of men (unweighted),0,U,Number,0,Number of men (unweighted),AN_NUTS_M_UNW,Adult Nutrition,,Nutritional status,Men,ANNUTSMUNW,,14,AN_NUTS_M_NUM,Number of men (unweighted),114564260,Men interviewed,,,,
Percentage of women classified as having any anemia (<12.0 g/dl for non-pregnant women and <11.0 g/dl for pregnant women),1,I,Percent,0,Any ,AN_ANEM_W_ANY,Adult Nutrition,,Prevalence of anemia,Women,ANANEMWANY,149312001,"13, 77, 80",AN_ANEM_W_NUM,Women with any anemia,114603010,Women interviewed,,,AN_ANEM_W_UNW,
Percentage of women classified as having mild anemia (11.0-11.9 g/dl for non-pregnant women and 10.0-10.9 g/dl for pregnant women),1,I,Percent,0,Mild ,AN_ANEM_W_MLD,Adult Nutrition,,Prevalence of anemia,Women,ANANEMWMLD,149310001,13,AN_ANEM_W_NUM,Women with mild anemia,114603020,Women interviewed,,,AN_ANEM_W_UNW,
Percentage of women classified as having moderate anemia (8.0-10.9 g/dl for non-pregnant women and 7.0-9.9 g/dl for pregnant women),1,I,Percent,0,Moderate ,AN_ANEM_W_MOD,Adult Nutrition,,Prevalence of anemia,Women,ANANEMWMOD,149310002,13,AN_ANEM_W_NUM,Women with moderate anemia,114603030,Women interviewed,,,AN_ANEM_W_UNW,
Percentage of women classified as having severe anemia (<8.0 g/dl for non-pregnant women and <7.0 g/dl for pregnant women),1,I,Percent,0,Severe ,AN_ANEM_W_SEV,Adult Nutrition,,Prevalence of anemia,Women,ANANEMWSEV,149310003,13,AN_ANEM_W_NUM,Women with severe anemia,114603040,Women interviewed,,,AN_ANEM_W_UNW,
Number of women,0,D,Number,0,Number of women,AN_ANEM_W_NUM,Adult Nutrition,,Prevalence of anemia,Women,ANANEMWNUM,149148000,13,,Number of women,114603050,Women interviewed,,,AN_ANEM_W_UNW,
Number of women (unweighted),0,U,Number,0,Number of women (unweighted),AN_ANEM_W_UNW,Adult Nutrition,,Prevalence of anemia,Women,ANANEMWUNW,,13,AN_ANEM_W_NUM,Number of women (unweighted),114603060,Women interviewed,,,,
Percentage of men classified as having any anemia,1,I,Percent,0,Any anemia,AN_ANEM_M_ANY,Adult Nutrition,,Prevalence of anemia,Men,ANANEMMANY,,13,AN_ANEM_M_NUM,Men with any anemia,114604070,Men interviewed,,,AN_ANEM_M_UNW,
Number of men,0,D,Number,0,Number of men,AN_ANEM_M_NUM,Adult Nutrition,,Prevalence of anemia,Men,ANANEMMNUM,,13,,Number of men,114604080,Men interviewed,,,AN_ANEM_M_UNW,
Number of men (unweighted),0,U,Number,0,Number of men (unweighted),AN_ANEM_M_UNW,Adult Nutrition,,Prevalence of anemia,Men,ANANEMMUNW,,13,AN_ANEM_M_NUM,Number of men (unweighted),114604090,Men interviewed,,,,
Percentage of women with a birth in the five years preceding the survey who received a vitamin A dose in the first two months after delivery,1,I,Percent,0,Percentage who received vitamin A dose post-partum,AN_MIAM_W_VAP,Adult Nutrition,,Micronutrient intake among mothers,Women,ANMIAMWVAP,146385001,39,AN_MIAM_W_NUM,Women with a birth in the past five years who received a vitamin A dose in the first two months after delivery,114633010,Women with a child born in past five years,,,AN_MIAM_W_UNW,
Percentage of women with a birth in the five years preceding the survey who took no iron tablets or syrup,1,I,Percent,0,Days women took iron tablets or syrup during pregnancy of last birth: None,AN_MIAM_W_NON,Adult Nutrition,AN_MIAM_W_TOT,Micronutrient intake among mothers,Women,ANMIAMWNON,146325000,39,AN_MIAM_W_NUM,Women with a birth in the past five years who took no iron tablets or syrup,114633020,Women with a child born in past five years,,AN_MIAM_W_DKM,AN_MIAM_W_UNW,
Percentage of women with a birth in the five years preceding the survey who took iron tablets or syrup for <60 days,1,I,Percent,0,Days women took iron tablets or syrup during pregnancy of last birth: <60,AN_MIAM_W_L60,Adult Nutrition,AN_MIAM_W_TOT,Micronutrient intake among mothers,Women,ANMIAMWL60,146325001,39,AN_MIAM_W_NUM,Women with a birth in the past five years who took iron tablets or syrup for <60 days,114633030,Women with a child born in past five years,,AN_MIAM_W_DKM,AN_MIAM_W_UNW,
Percentage of women with a birth in the five years preceding the survey who took iron tablets or syrup for 60-89 days,1,I,Percent,0,Days women took iron tablets or syrup during pregnancy of last birth: 60-89,AN_MIAM_W_L89,Adult Nutrition,AN_MIAM_W_TOT,Micronutrient intake among mothers,Women,ANMIAMWL89,146325002,39,AN_MIAM_W_NUM,Women with a birth in the past five years who took iron tablets or syrup for 60-89 days,114633040,Women with a child born in past five years,,AN_MIAM_W_DKM,AN_MIAM_W_UNW,
Percentage of women with a birth in the five years preceding the survey who took iron tablets or syrup for 90+ days,1,I,Percent,0,Days women took iron tablets or syrup during pregnancy of last birth: 90+,AN_MIAM_W_90P,Adult Nutrition,AN_MIAM_W_TOT,Micronutrient intake among mothers,Women,ANMIAMW90P,146325003,"39, 85",AN_MIAM_W_NUM,Women with a birth in the past five years who took iron tablets or syrup for 90+ days,114633050,Women with a child born in past five years,,AN_MIAM_W_DKM,AN_MIAM_W_UNW,
Percentage of women with a birth in the five years preceding the survey with 'don't know' or missing information on iron tablets or syrup,1,S,Percent,0,Days women took iron tablets or syrup during pregnancy of last birth: Don't know or missing,AN_MIAM_W_DKM,Adult Nutrition,,Micronutrient intake among mothers,Women,ANMIAMWDKM,146325009,39,AN_MIAM_W_NUM,Women with a birth in the past five years with 'Don't know' or missing information on iron tablets or syrup,114633060,Women with a child born in past five years,,,AN_MIAM_W_UNW,
Percentage of women with a birth in the five years preceding the survey: Total,1,T,Percent,0,Days women took iron tablets or syrup during pregnancy of last birth: Total,AN_MIAM_W_TOT,Adult Nutrition,,Micronutrient intake among mothers,Women,ANMIAMWTOT,,39,AN_MIAM_W_NUM,Women with a birth in the past five years: Total,114633070,Women with a child born in past five years,,,AN_MIAM_W_UNW,
Percentage of women with a birth in the five years preceding the survey who took deworming medication during the pregnancy of the last birth,1,I,Percent,0,Took deworming medication during pregnancy of last birth,AN_MIAM_W_DWM,Adult Nutrition,,Micronutrient intake among mothers,Women,ANMIAMWDWM,,39,AN_MIAM_W_NUM,Women with a birth in the past five years who took deworming medication during pregnancy of last birth,114633080,Women with a child born in past five years,,,AN_MIAM_W_UNW,
Percentage of women with a birth in the five years preceding the survey who suffered from night blindness during pregnancy (adjusted),1,I,Percent,0,Night blindness (reported),AN_MIAM_W_NBR,Adult Nutrition,,Micronutrient intake among mothers,Women,ANMIAMWNBR,146326001,39,AN_MIAM_W_NUM,Women with a birth in the past five years suffering from night blindness during pregnancy (adjusted),114633090,Women with a child born in past five years,,,AN_MIAM_W_UNW,
Percentage of women with a birth in the five years preceding the survey who suffered from night blindness during pregnancy (reported),1,I,Percent,0,Night blindness (adjusted),AN_MIAM_W_NBA,Adult Nutrition,,Micronutrient intake among mothers,Women,ANMIAMWNBA,146327001,39,AN_MIAM_W_NUM,Women with a birth in the past five years suffering from night blindness during pregnancy (reported),114633100,Women with a child born in past five years,,,AN_MIAM_W_UNW,
Number of women with a birth in the five years preceding the survey,0,D,Number,0,Number of women with a child born in the past five years,AN_MIAM_W_NUM,Adult Nutrition,,Micronutrient intake among mothers,Women,ANMIAMWNUM,146148000,39,,Number of women with a birth in the past five years,114633110,Women with a child born in past five years,,,AN_MIAM_W_UNW,
Number of women with a birth in the five years preceding the survey (unweighted),0,U,Number,0,Number of women with a child born in the past five years (unweighted),AN_MIAM_W_UNW,Adult Nutrition,,Micronutrient intake among mothers,Women,ANMIAMWUNW,,39,AN_MIAM_W_NUM,Number of women with a birth in the past five years (unweighted),114633120,Women with a child born in past five years,,,,
Percentage of women with a birth in the past five years living in households using adequately iodized salt,1,I,Percent,0,Women living in households with iodized salt,AN_MIAM_W_IOD,Adult Nutrition,,Micronutrient intake among mothers,Women,ANMIAMWIOD,146314001,39,AN_MIAM_W_NM1,Women living in households using adequately iodized salt,114633130,Women with a child born in past five years who live in households tested for iodized salt,,,AN_MIAM_W_UN1,
Number of women with a birth in the past five years living in households tested for iodized salt,0,D,Number,0,Number of women with a child born in the past five years living in households that were tested for iodized salt,AN_MIAM_W_NM1,Adult Nutrition,,Micronutrient intake among mothers,Women,ANMIAMWNM1,146314002,39,,Number of women with a birth in the past five years living in households tested for iodized salt,114633140,Women with a child born in past five years who live in households tested for iodized salt,,,AN_MIAM_W_UN1,
Number of women with a birth in the past five years living in households tested for iodized salt (unweighted),0,U,Number,0,Number of women with a child born in the past five years living in households that were tested for iodized salt (unweighted),AN_MIAM_W_UN1,Adult Nutrition,,Micronutrient intake among mothers,Women,ANMIAMWUN1,,39,AN_MIAM_W_NM1,Number of women with a birth in the past five years living in households tested for iodized salt (unweighted),114633150,Women with a child born in past five years who live in households tested for iodized salt,,,,
Percentage of households with at least one mosquito net (treated or untreated),1,I,Percent,0,At least one mosquito net,ML_NETP_H_MOS,Malaria,,Household possession of mosquito nets,Households,MLNETPHMOS,207487001,33,ML_NETP_H_NUM,Households with at least one mosquito net,124661010,Households,,,ML_NETP_H_UNW,
Percentage of households with at least one insecticide treated mosquito net (ITN),1,I,Percent,0,At least one ITN,ML_NETP_H_ITN,Malaria,,Household possession of mosquito nets,Households,MLNETPHITN,207489001,"33, 77, 5, 7, 79",ML_NETP_H_NUM,Households with at least one insecticide-treated mosquito net (ITN),124661020,Households,,,ML_NETP_H_UNW,
Percentage of households with at least one long-lasting insecticide treated mosquito net (LLIN),1,I,Percent,0,At least one long-lasting insecticidal net (LLIN),ML_NETP_H_LLN,Malaria,,Household possession of mosquito nets,Households,MLNETPHLLN,,33,ML_NETP_H_NUM,Households with at least one long-lasting insecticidal net (LLIN),124661030,Households,,,ML_NETP_H_UNW,
Mean number of mosquito nets per household,1,I,Mean,0,Mean number of any mosquito nets,ML_NETP_H_MNM,Malaria,,Household possession of mosquito nets,Households,MLNETPHMNM,207487003,33,ML_NETP_H_NUM,Mean number of mosquito nets per household,124661040,Households,,,ML_NETP_H_UNW,
Mean number of insecticide tested mosquito nets (ITNs) per household,1,I,Mean,0,Mean number of ITNs,ML_NETP_H_MNI,Malaria,,Household possession of mosquito nets,Households,MLNETPHMNI,207489003,33,ML_NETP_H_NUM,Mean number of insecticide-treated mosquito nets (ITNs) per household,124661050,Households,,,ML_NETP_H_UNW,
Mean number of long-lasting insecticide tested mosquito nets (LLINs) per household,1,I,Mean,0,Mean number of long-lasting insecticidal nets (LLINs),ML_NETP_H_MNL,Malaria,,Household possession of mosquito nets,Households,MLNETPHMNL,,33,ML_NETP_H_NUM,Mean number of long-lasting insecticide-treated mosquito nets (LLINs) per household,124661060,Households,,,ML_NETP_H_UNW,
Number of households,0,D,Number,0,Number of households,ML_NETP_H_NUM,Malaria,,Household possession of mosquito nets,Households,MLNETPHNUM,207329000,33,,Number of households,124661070,Households,,,ML_NETP_H_UNW,
Number of households (unweighted),0,U,Number,0,Number of households (unweighted),ML_NETP_H_UNW,Malaria,,Household possession of mosquito nets,Households,MLNETPHUNW,,33,ML_NETP_H_NUM,Number of households (unweighted),124661080,Households,,,,
Percentage of households with at least one mosquito net for every two persons who stayed in the household the previous night,1,I,Percent,0,At least one mosquito net for every two persons who stayed in the household the previous night,ML_NETP_H_MS2,Malaria,,Household possession of mosquito nets,Households,MLNETPHMS2,,33,ML_NETP_H_NM2,Households with at least one mosquito net for every two persons who stayed in the household the previous night,124661090,Households with at least one person who stayed in the household last night,,,ML_NETP_H_UN2,
Percentage of households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,1,I,Percent,0,At least one ITN for every two persons who stayed in the household the previous night,ML_NETP_H_IT2,Malaria,,Household possession of mosquito nets,Households,MLNETPHIT2,,"33, 77, 5, 7, 79",ML_NETP_H_NM2,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,124661100,Households with at least one person who stayed in the household last night,,,ML_NETP_H_UN2,
Percentage of households with at least one long-lasting insecticidal net (LLIN) for every two persons who stayed in the household the previous night,1,I,Percent,0,At least one long-lasting insecticidal net (LLIN) for every two persons who stayed in the household the previous night,ML_NETP_H_LL2,Malaria,,Household possession of mosquito nets,Households,MLNETPHLL2,,33,ML_NETP_H_NM2,Households with at least one long-lasting insecticidal net (LLIN) for every two persons who stayed in the household the previous night,124661110,Households with at least one person who stayed in the household last night,,,ML_NETP_H_UN2,
Number of households with a least one person who stayed in the household last night,0,D,Number,0,Number of households with a least one person who stayed in the household last night,ML_NETP_H_NM2,Malaria,,Household possession of mosquito nets,Households,MLNETPHNM2,,33,,Number of households with a least one person who stayed in the household last night,124661120,Households with at least one person who stayed in the household last night,,,ML_NETP_H_UN2,
Number of households with a least one person who stayed in the household last night (unweighted),0,U,Number,0,Number of households with a least one person who stayed in the household last night (unweighted),ML_NETP_H_UN2,Malaria,,Household possession of mosquito nets,Households,MLNETPHUN2,,33,ML_NETP_H_NM2,Number of households with a least one person who stayed in the household last night (unweighted),124661130,Households with at least one person who stayed in the household last night,,,,
Percentage of mosquito nets received from mass distribution campaign,1,I,Percent,0,Mass distribution campaign,ML_NSRC_N_MDC,Malaria,ML_NSRC_N_TOT,Source of mosquito nets,Nets,MLNSRCNMDC,,,ML_NSRC_N_NUM,Net source: Mass distribution campaign,124687010,Mosquito nets,,ML_NSRC_N_DKM,ML_NSRC_N_UNW,
Percentage of mosquito nets received from ANC visit,1,I,Percent,0,ANC visit,ML_NSRC_N_ANC,Malaria,ML_NSRC_N_TOT,Source of mosquito nets,Nets,MLNSRCNANC,,,ML_NSRC_N_NUM,Net source: ANC visit,124687020,Mosquito nets,,ML_NSRC_N_DKM,ML_NSRC_N_UNW,
